Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,XXS,600,60.3,1429.0,3636.0,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,252
50,XXS,600,60.3,370.0,3332.0,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,253
50,XXS,600,60.3,2303.0,2887.0,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,254
50,XXS,600,60.3,3220.0,2347.0,11.07,0.0001,6.4,73.2,82.55,25.4,45.95,255
50,XXS,150,60.3,1997.0,1283.0,11.07,17.0,1.5,63.5,76.2,17.6,45.95,256
50,XXS,150,60.3,4807.0,582.0,11.07,17.0,1.5,63.5,76.2,17.6,45.95,257
50,XXS,150,60.3,1014.0,427.0,11.07,17.0,1.5,63.5,76.2,17.6,45.95,258
50,XXS,150,60.3,4772.0,3732.0,11.07,17.0,1.5,63.5,76.2,17.6,45.95,259
50,XXS,150,60.3,2549.0,3204.0,11.07,17.0,1.5,63.5,76.2,17.6,45.95,260
50,XXS,300,60.3,4095.0,3228.0,11.07,30.0,1.5,69.9,82.55,20.9,45.95,261
50,XXS,300,60.3,3275.0,1033.0,11.07,30.0,1.5,69.9,82.55,20.9,45.95,262
