Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,XXS,300,60.3,557,1047,11.07,30,1.5,69.9,82.55,20.9,45.95,261
50,XXS,300,60.3,1204,416,11.07,30,1.5,69.9,82.55,20.9,45.95,262
50,XXS,300,60.3,1521,1545,11.07,30,1.5,69.9,82.55,20.9,45.95,263
50,XXS,300,60.3,2027,672,11.07,30,1.5,69.9,82.55,20.9,45.95,264
50,XXS,300,60.3,1176,1727,11.07,30,1.5,69.9,82.55,20.9,45.95,265
50,XXS,600,60.3,508,775,11.07,45,6.4,73.2,82.55,25.4,45.95,266
50,XXS,600,60.3,1330,725,11.07,45,6.4,73.2,82.55,25.4,45.95,267
50,XXS,600,60.3,740,1609,11.07,45,6.4,73.2,82.55,25.4,45.95,268
50,XXS,600,60.3,2577,554,11.07,45,6.4,73.2,82.55,25.4,45.95,269
50,XXS,600,60.3,2602,407,11.07,45,6.4,73.2,82.55,25.4,45.95,270
50,XXS,150,60.3,2164,856,11.07,12.75,1.5,63.5,76.2,17.6,45.95,271
50,XXS,150,60.3,635,1648,11.07,12.75,1.5,63.5,76.2,17.6,45.95,272
50,XXS,150,60.3,776,731,11.07,12.75,1.5,63.5,76.2,17.6,45.95,273
50,XXS,150,60.3,1082,2410,11.07,12.75,1.5,63.5,76.2,17.6,45.95,274
50,XXS,150,60.3,2376,544,11.07,12.75,1.5,63.5,76.2,17.6,45.95,275
50,XXS,300,60.3,2865,1810,11.07,22.5,1.5,69.9,82.55,20.9,45.95,276
50,XXS,300,60.3,2544,2005,11.07,22.5,1.5,69.9,82.55,20.9,45.95,277
50,XXS,300,60.3,800,1038,11.07,22.5,1.5,69.9,82.55,20.9,45.95,278
50,XXS,300,60.3,2578,1259,11.07,22.5,1.5,69.9,82.55,20.9,45.95,279
50,XXS,300,60.3,1555,349,11.07,22.5,1.5,69.9,82.55,20.9,45.95,280
50,XXS,600,60.3,1361,1424,11.07,33.75,6.4,73.2,82.55,25.4,45.95,281
50,XXS,600,60.3,579,1814,11.07,33.75,6.4,73.2,82.55,25.4,45.95,282
50,XXS,600,60.3,639,2454,11.07,33.75,6.4,73.2,82.55,25.4,45.95,283
50,XXS,600,60.3,2793,2816,11.07,33.75,6.4,73.2,82.55,25.4,45.95,284
50,XXS,600,60.3,2453,1590,11.07,33.75,6.4,73.2,82.55,25.4,45.95,285
50,XXS,150,60.3,2646,910,11.07,21.25,1.5,63.5,76.2,17.6,45.95,286
50,XXS,150,60.3,1523,2283,11.07,21.25,1.5,63.5,76.2,17.6,45.95,287
50,XXS,150,60.3,2163,1726,11.07,21.25,1.5,63.5,76.2,17.6,45.95,288
